business_id,name,stars,latitude,longitude,cuisine,neighborhood
z8-_6l5EhX5NuPfWzJYQMA,Great Wraps,3.0,33.846335,-84.3635778,Cheesesteaks,Buckhead
Q2vefh0tGhtCGQDK1FI7cw,Piece of Cake,4.0,33.8428749,-84.3785385,Other,Buckhead
TbZDLpBOl-EbO2LfMySrEg,First China Restaurant,3.0,33.8966405,-84.280918,Chinese,Other
bP6goJODwRnM3AVy45Kn9w,Papi's Cuban & Caribbean Grill,4.0,33.772758,-84.380375,Caribbean,Midtown Atlanta
yCeENvVAGQQ0PeeWU0Pl2g,Nature's Table Bistro,3.5,33.640879018,-84.4255140424,Sandwiches,Other
zY12NvWB5QKNuLh9tbLEsA,Donnie's Country Cookin',3.5,33.8551066087,-84.3133151086,Southern,Other
opdd6sSWjwiy-doXnlpMeA,Tin Lizzy's Cantina,3.5,33.7599229,-84.3864441,Mexican,Peachtree Center
diB_y_0tPzz-OAe5xgFXtw,Chick-fil-A,2.5,33.8275823,-84.328604,Fast Food,Briarcliff Heights
GH3D02sDvOT4A9JxgL0sxg,Curly's Fried Chicken,4.0,33.7826388,-84.4115507,Southern,Home Park
6Y0lQh4O-9JCutgyuMNq0g,Loca Luna,3.5,33.788608261,-84.3690906035,Latin American,Morningside-Lenox Park
0fTzCoxF2X-sj1GwrdFpeg,Uptown Restaurant & Lounge,3.5,33.759931,-84.383949,American (New),Peachtree Center
0EBCHYAx33wE4-jr0udc3g,Lee's Golden Buddha Restaurant - CNN Center,2.5,33.757001,-84.393034,Chinese,Downtown Atlanta
6DcaOhKuSj6TzSDH9xHOnQ,Philly Cheesesteak Place,3.5,33.8116376253,-84.3572405323,Cheesesteaks,Lindridge-Martin Manor
0wHq30wgfCaBHI-Bm6PwoA,Mandarin House,2.5,33.9259745,-84.3781593,Chinese,Other
pGpDZ4nV9FuojeVFy037rg,Jr Crickets,2.0,33.7868725,-84.3825721,American (Traditional),Midtown Atlanta
3lPMYiIC7zqRGfYhnJdxrg,Savi Provisions: Brookhaven,4.0,33.8610157,-84.3323034,Other,Ashford Park
QfG8RePOM8Gx0D7sUUlmiw,Simple Pleasures,3.5,33.9188813,-84.2969148,Other,Other
5Bc3U8qu9sYE_hoC7IIorA,The Buckeye Room Bar and Grill,4.5,33.8858625,-84.2583752,American (Traditional),Other
FuQExkWBNIYRXShoP9eiog,Moyo Grill & Bar Restaurant,4.0,33.6169406,-84.4057349,African,Other
cgJxqaZxWYPB4IhRzA-TxQ,Zen on Ten,3.0,33.7817985,-84.4078676,Japanese,Home Park
lknzQJ0FCN0bkt4sP4O7Tw,Hovan Gourmet,4.0,33.923643,-84.3399489,Middle Eastern,Perimeter Center
Hfg_gRsUCEE1-CdFVxa0dw,Kabob Land,3.0,33.8426915242,-84.3704558133,Mediterranean,Buckhead
jh07n3CFoc8gskZ8F-2g9w,Farm Burger,4.0,33.847331,-84.372713,Burgers,Buckhead
LOiS95cRQbPrbRZ2-fMXbg,Shane's Rib Shack,3.0,33.758258,-84.3484743,Barbeque,Edgewood
nZ9ZnWEgXY0gynZus5Tvnw,Tonys Deli,4.5,33.68252,-84.409127,Delis,Perkerson
bkFK5XEQef-F0rTxmktfzg,Mellow Mushroom Atlanta - Buckhead,3.5,33.802353,-84.393173,Sandwiches,Buckhead
AiqkdXibOyg-u2VZNfJRUQ,Mangos Caribbean Restaurant,2.0,33.7380400882,-84.4142397082,Caribbean,West End
a0aWbOqCShMyYJPy8fHgTQ,Fanoos Persian Cuisine,3.0,33.9224516,-84.378782,Middle Eastern,Other
dl6dOeOo4Tiy13yTTveAMw,Caribbean Legacy,3.5,33.752312,-84.3952708,Caribbean,South Downtown
JqeO0Aqs2AD6zJANeWp4Uw,Sam & Son Grocery Wholesale,4.5,33.7210628,-84.3978133,Other,Pittsburgh
LtATCMWCuBxfj7dkQSAw7w,Good Nutrition,3.5,33.816939,-84.31257,Other,Toco Hills
txzmxf7Eh1j_UTo4LPW7Ug,Neighborhood Pizza,2.0,33.7228838,-84.3923743,Italian,Peoplestown
_IFMCrheTi12RqiR7jvJUg,Little Rey,4.0,33.807972,-84.3663421,Mexican,Piedmont Heights
KkTqCjPGrMF7-BF_8EnfKA,CT Farmers Market,4.0,33.8412691,-84.3260182,Other,Other
ig0zch5NYBvyVyOtBQq4MA,Supreme Fish Delight,2.5,33.723341,-84.511428,Seafood,Other
jXZzIwAMwgZYuR03ZqTbig,One Love Jerk Grill,4.5,33.7946333,-84.448772,Caribbean,West Highlands
EmJOkTKIwgm7QJbls7hN3w,Seven Lamps,4.0,33.8470360281,-84.3656622762,American (New),Buckhead
96_YCrquNU4OlKnY7_2aYQ,Boneheads,4.0,33.868135033,-84.3372344971,Seafood,Other
eLrJdEYwxzJgddnqawDQ1g,Pasta Vino,3.5,33.820152,-84.387432,Pizza,Buckhead
liiRulmLaFOjF5WyKiDNkA,Dtox,3.5,33.8599118,-84.3818438,Other,East Chastain Park
vE6ZtSOEpFWbpl8KmEqv7g,Truva Turkish Kitchen,4.0,33.759901,-84.3857823,Turkish,Peachtree Center
lKhF50ZDNZoz6jA5YynRtg,Al Forno's,3.0,33.7845697,-84.3882286,Pizza,Midtown Atlanta
KR4byEwMJ2iC3hlHiX6gVQ,Burger King,2.0,33.785385,-84.40711,Fast Food,Home Park
KTRhicnD-1DHJJDjTy2Y_A,Caffe Antico,3.5,33.7842287523,-84.4054824845,Cafes,Home Park
pa-WfHqU-cIoMVkuS9dATw,Starbucks,3.0,33.77169,-84.36368,Other,Poncey-Highland
ugaJSnAnv-kemdWF6HEqow,Total Wine & More,3.5,33.8825985,-84.4609369,Other,Cumberland
